"Date","Price","Open","High","Low","Vol.","Change %"
"13/09/2021","172.50","172.50","178.00","172.50","723.62K","0.00%"
"10/09/2021","172.50","172.50","172.50","172.50","1.24M","0.00%"
"09/09/2021","172.50","172.50","172.50","172.50","1.60M","0.00%"
"08/09/2021","172.50","172.50","175.50","172.00","244.21K","0.00%"
"07/09/2021","172.50","172.50","176.00","172.50","61.07K","0.00%"
"06/09/2021","172.50","172.50","176.00","172.50","160.11K","0.00%"
"03/09/2021","172.50","172.50","172.50","172.50","1.99M","0.00%"
"02/09/2021","172.50","172.50","172.60","172.00","566.34K","0.00%"
"01/09/2021","172.50","172.50","175.50","171.00","602.84K","0.00%"
"31/08/2021","172.50","172.50","173.00","171.50","1.22M","0.00%"
"30/08/2021","172.50","172.50","176.50","171.80","1.03M","0.00%"
"27/08/2021","172.50","172.00","172.50","172.50","823.17K","0.29%"
"26/08/2021","172.00","172.00","175.50","172.50","2.88M","0.00%"
"25/08/2021","172.00","172.00","173.00","172.40","898.93K","0.00%"
"24/08/2021","172.00","172.00","172.80","172.00","418.95K","0.00%"
"23/08/2021","172.00","172.00","172.00","172.00","1.15M","0.00%"
"20/08/2021","172.00","172.00","172.00","172.00","3.35M","-2.55%"
"19/08/2021","176.50","172.10","176.50","176.50","3.08M","2.56%"
"18/08/2021","172.10","172.10","177.40","176.00","456.68K","0.00%"
"17/08/2021","172.10","172.10","177.90","173.20","185.08K","0.00%"
"16/08/2021","172.10","172.10","176.60","172.30","1.69M","0.00%"
"13/08/2021","172.10","172.10","174.00","172.10","477.57K","0.00%"
"12/08/2021","172.10","172.10","175.00","172.10","617.01K","0.00%"
"11/08/2021","172.10","172.10","172.10","172.10","4.52M","0.00%"
"10/08/2021","172.10","168.10","172.10","172.10","2.85M","2.38%"
"09/08/2021","168.10","168.00","168.10","168.10","562.87K","0.06%"
"06/08/2021","168.00","168.00","170.00","168.00","561.35K","0.00%"
"05/08/2021","168.00","171.00","168.00","168.00","611.89K","-1.75%"
"04/08/2021","171.00","171.00","169.70","166.00","122.58K","0.00%"
"03/08/2021","171.00","168.00","171.00","169.00","2.23M","1.79%"
"02/08/2021","168.00","165.00","168.00","166.60","916.38K","1.82%"
"30/07/2021","165.00","164.10","165.00","165.00","4.64M","0.55%"
"29/07/2021","164.10","163.50","164.10","164.10","500.77K","0.37%"
"28/07/2021","163.50","163.10","163.50","163.10","1.62M","0.25%"
"27/07/2021","163.10","165.00","163.10","163.10","1.35M","-1.15%"
